sub,algorithm,solution,context,door,x,y,path_weight
3,hamiltonian,3,2,7,2,2,6
3,hamiltonian,4,2,15,4,2,6
3,hamiltonian,4,2,7,2,2,6
3,hamiltonian,4,2,5,2,4,6
3,hamiltonian,4,2,13,4,4,6
3,hamiltonian,5,2,13,4,4,6
3,hamiltonian,5,2,5,2,4,6
3,hamiltonian,5,2,7,2,2,6
3,hamiltonian,5,2,15,4,2,6
3,hamiltonian,6,2,13,4,4,6
3,hamiltonian,6,2,15,4,2,6
3,hamiltonian,6,2,7,2,2,6
3,hamiltonian,6,2,5,2,4,6
3,hamiltonian,7,2,7,2,2,6
3,hamiltonian,7,2,5,2,4,6
3,hamiltonian,7,2,13,4,4,6
3,hamiltonian,7,2,15,4,2,6
3,hamiltonian,8,2,7,2,2,6
3,hamiltonian,8,2,15,4,2,6
3,hamiltonian,8,2,13,4,4,6
3,hamiltonian,8,2,5,2,4,6
4,hamiltonian,1,1,2,1,3,5.650281539
4,hamiltonian,1,1,4,1,1,5.650281539
4,hamiltonian,1,1,11,3,2,5.650281539
4,hamiltonian,1,1,14,4,3,5.650281539
4,hamiltonian,2,1,14,4,3,5.650281539
4,hamiltonian,2,1,11,3,2,5.650281539
4,hamiltonian,2,1,2,1,3,5.650281539
4,hamiltonian,2,1,4,1,1,5.650281539
4,hamiltonian,3,1,14,4,3,5.650281539
4,hamiltonian,3,1,11,3,2,5.650281539
4,hamiltonian,3,1,4,1,1,5.650281539
4,hamiltonian,3,1,2,1,3,5.650281539
4,hamiltonian,4,1,4,1,1,5.650281539
4,hamiltonian,4,1,2,1,3,5.650281539
4,hamiltonian,4,1,11,3,2,5.650281539
4,hamiltonian,4,1,14,4,3,5.650281539
4,hamiltonian,1,2,5,2,4,6
4,hamiltonian,1,2,13,4,4,6
4,hamiltonian,1,2,15,4,2,6
4,hamiltonian,1,2,7,2,2,6
4,hamiltonian,2,2,5,2,4,6
4,hamiltonian,2,2,7,2,2,6
4,hamiltonian,2,2,15,4,2,6
4,hamiltonian,2,2,13,4,4,6
4,hamiltonian,3,2,15,4,2,6
4,hamiltonian,3,2,13,4,4,6
4,hamiltonian,3,2,5,2,4,6
4,hamiltonian,3,2,7,2,2,6
4,hamiltonian,4,2,15,4,2,6
4,hamiltonian,4,2,7,2,2,6
4,hamiltonian,4,2,5,2,4,6
4,hamiltonian,4,2,13,4,4,6
4,hamiltonian,5,2,13,4,4,6
4,hamiltonian,5,2,5,2,4,6
4,hamiltonian,5,2,7,2,2,6
4,hamiltonian,5,2,15,4,2,6
4,hamiltonian,6,2,13,4,4,6
4,hamiltonian,6,2,15,4,2,6
4,hamiltonian,6,2,7,2,2,6
4,hamiltonian,6,2,5,2,4,6
4,hamiltonian,7,2,7,2,2,6
4,hamiltonian,7,2,5,2,4,6
4,hamiltonian,7,2,13,4,4,6
4,hamiltonian,7,2,15,4,2,6
4,hamiltonian,8,2,7,2,2,6
4,hamiltonian,8,2,15,4,2,6
4,hamiltonian,8,2,13,4,4,6
4,hamiltonian,8,2,5,2,4,6
5,hamiltonian,1,1,8,2,1,5.886349515999999
5,hamiltonian,1,1,15,4,2,5.886349515999999
5,hamiltonian,1,1,10,3,3,5.886349515999999
5,hamiltonian,1,1,1,1,4,5.886349515999999
5,hamiltonian,2,1,1,1,4,5.886349515999999
5,hamiltonian,2,1,10,3,3,5.886349515999999
5,hamiltonian,2,1,15,4,2,5.886349515999999
5,hamiltonian,2,1,8,2,1,5.886349515999999
5,hamiltonian,1,2,2,1,3,5.650281539
5,hamiltonian,1,2,7,2,2,5.650281539
5,hamiltonian,1,2,14,4,3,5.650281539
5,hamiltonian,1,2,16,4,1,5.650281539
5,hamiltonian,2,2,2,1,3,5.650281539
5,hamiltonian,2,2,7,2,2,5.650281539
5,hamiltonian,2,2,16,4,1,5.650281539
5,hamiltonian,2,2,14,4,3,5.650281539
5,hamiltonian,3,2,14,4,3,5.650281539
5,hamiltonian,3,2,16,4,1,5.650281539
5,hamiltonian,3,2,7,2,2,5.650281539
5,hamiltonian,3,2,2,1,3,5.650281539
5,hamiltonian,4,2,16,4,1,5.650281539
5,hamiltonian,4,2,14,4,3,5.650281539
5,hamiltonian,4,2,7,2,2,5.650281539
5,hamiltonian,4,2,2,1,3,5.650281539
6,hamiltonian,1,1,8,2,1,5.886349515999999
6,hamiltonian,1,1,15,4,2,5.886349515999999
6,hamiltonian,1,1,10,3,3,5.886349515999999
6,hamiltonian,1,1,1,1,4,5.886349515999999
6,hamiltonian,2,1,1,1,4,5.886349515999999
6,hamiltonian,2,1,10,3,3,5.886349515999999
6,hamiltonian,2,1,15,4,2,5.886349515999999
6,hamiltonian,2,1,8,2,1,5.886349515999999
6,hamiltonian,1,2,2,1,3,5.650281539
6,hamiltonian,1,2,7,2,2,5.650281539
6,hamiltonian,1,2,14,4,3,5.650281539
6,hamiltonian,1,2,16,4,1,5.650281539
6,hamiltonian,2,2,2,1,3,5.650281539
6,hamiltonian,2,2,7,2,2,5.650281539
6,hamiltonian,2,2,16,4,1,5.650281539
6,hamiltonian,2,2,14,4,3,5.650281539
6,hamiltonian,3,2,14,4,3,5.650281539
6,hamiltonian,3,2,16,4,1,5.650281539
6,hamiltonian,3,2,7,2,2,5.650281539
6,hamiltonian,3,2,2,1,3,5.650281539
6,hamiltonian,4,2,16,4,1,5.650281539
6,hamiltonian,4,2,14,4,3,5.650281539
6,hamiltonian,4,2,7,2,2,5.650281539
6,hamiltonian,4,2,2,1,3,5.650281539
7,hamiltonian,1,1,8,2,1,5.886349515999999
7,hamiltonian,1,1,15,4,2,5.886349515999999
7,hamiltonian,1,1,10,3,3,5.886349515999999
7,hamiltonian,1,1,1,1,4,5.886349515999999
7,hamiltonian,2,1,1,1,4,5.886349515999999
7,hamiltonian,2,1,10,3,3,5.886349515999999
7,hamiltonian,2,1,15,4,2,5.886349515999999
7,hamiltonian,2,1,8,2,1,5.886349515999999
7,hamiltonian,1,2,2,1,3,5.650281539
7,hamiltonian,1,2,7,2,2,5.650281539
7,hamiltonian,1,2,14,4,3,5.650281539
7,hamiltonian,1,2,16,4,1,5.650281539
7,hamiltonian,2,2,2,1,3,5.650281539
7,hamiltonian,2,2,7,2,2,5.650281539
