"sub","context","r"
1,1,5.83662943941699
2,1,6.70492501844369
3,1,30.920647969597
4,1,25.7398449112562
5,1,27.0039514521918
6,1,5.89045903245924
7,1,10.994955159993
8,1,15.0914314177886
9,1,23.7680883696542
10,1,10.8783438531439
11,1,3.00615009717888
12,1,2.70050155434713
13,1,9.35843329334353
14,1,7.7798740459458
15,1,9.2310495263261
16,1,10.059122958576
17,1,6.33860407343657
18,1,4.85692090285926
19,1,11.2003007154164
20,1,10.9378809406645
21,1,10.5949432277913
22,1,1.74973288782788
23,1,30.7247839617877
24,1,7.8520230418337
25,1,4.71134036564859
26,1,4.27153562086905
27,1,9.28250126926724
28,1,13.6383336083833
29,1,4.08685195747778
30,1,4.3710996155355
31,1,14.8020516388548
32,1,31.792729376816
33,1,8.09349032559891
34,1,4.64503235713529
35,1,4.81566575705353
36,1,23.7446820782997
37,1,23.8928788293025
38,1,12.1847234892269
39,1,26.0357668176779
40,1,8.41847514455885
41,1,5.29598305014394
42,1,5.89259162327887
43,1,14.1842937459003
44,1,17.5221931233067
45,1,12.3822043913952
46,1,21.1430203013407
47,1,34.3764768708212
48,1,12.6232745143583
49,1,11.9864096351076
50,1,11.388803541488
51,1,11.6875818127914
52,1,13.0359179321151
53,1,5.06980650348208
54,1,21.6317467403127
55,1,18.2400333222329
56,1,26.1419480449612
57,1,0.900187790908647
58,1,5.96139090889951
59,1,8.17752869000679
60,1,30.8843904273434
61,1,10.2042007342908
62,1,28.970802621054
63,1,13.0033556638499
64,1,29.4563636856567
65,1,11.8804950003786
66,1,7.76298171230304
67,1,10.8588430315102
68,1,9.64789157262805
69,1,1.8682002745495
70,1,18.6518880417988
71,1,17.9338114745414
72,1,28.4770992992434
73,1,4.90467233905391
74,1,5.04751601808022
75,1,6.79425546351512
76,1,9.77921911115846
77,1,13.2950671718363
78,1,4.74385342155372
79,1,11.2879008134289
80,1,8.26847839235254
81,1,3.00553414123417
82,1,10.8632376172828
83,1,10.2605052988911
84,1,8.67679758796375
85,1,13.897341800328
86,1,8.02713459837438
87,1,12.5720041713362
88,1,26.0214137292428
89,1,3.51705177861906
90,1,6.56978367909774
91,1,11.2644557040177
92,1,2.69144943196017
93,1,17.3750715431421
94,1,20.1483184257356
95,1,17.2313258941905
96,1,19.1323334785665
97,1,9.66774187115076
98,1,7.73051185507371
99,1,13.9372089788357
100,1,9.02275623086618
1,2,2.49530415437722
2,2,6.49093112037428
3,2,32.5429724952028
4,2,24.3739489595863
5,2,23.4146738024262
6,2,6.48197325674754
7,2,10.0910086223068
8,2,21.7195573049155
9,2,24.9373748271407
10,2,10.7336663769612
11,2,2.08203139430071
12,2,1.59571611066145
13,2,8.30861020391205
14,2,5.25461801649843
15,2,7.69104971577524
16,2,5.93491925727326
17,2,8.65428487126059
18,2,8.09660942945421
19,2,9.99384273888384
20,2,10.2785314307471
21,2,7.7805465775977
22,2,4.76180583081266
23,2,30.6628865707833
24,2,7.31765913045411
25,2,5.3147523081749
26,2,3.81910946067727
27,2,8.41893939842634
28,2,13.0608249617843
29,2,4.02819788968662
30,2,4.48465824522208
31,2,13.0621163765829
32,2,33.6165055881621
33,2,7.66495425199028
34,2,2.15807643714099
35,2,3.61156199540886
36,2,23.3802341980773
37,2,21.6580993648723
38,2,12.0746112620569
39,2,28.1094517646155
40,2,5.51522188957024
41,2,6.20563139965745
42,2,4.83106162499114
43,2,16.2490040545931
44,2,10.6046860467352
45,2,12.6701151144738
46,2,16.7906241898498
47,2,33.7736786793039
48,2,11.8919915591451
49,2,16.7425920477016
50,2,11.8757323511168
51,2,11.8545216602377
52,2,14.4086888856539
53,2,7.91432808209251
54,2,17.1801304406702
55,2,18.7691272950974
56,2,23.702281910977
57,2,0.792921522092235
58,2,7.9062659399707
59,2,8.58097948285267
60,2,32.1108249960152
61,2,13.5808495099632
62,2,29.403671482066
63,2,7.73423193641525
64,2,29.5973276183972
65,2,7.17120784533676
66,2,6.04510659074209
67,2,9.22312857199185
68,2,7.47043455793101
69,2,1.17854934646341
70,2,18.0425331110641
71,2,18.036927160959
72,2,29.526064047966
73,2,4.8390783622494
74,2,4.71272590499656
75,2,3.64696348093094
76,2,12.4054561825757
77,2,16.5489034030014
78,2,7.33360727018251
79,2,10.5075993517434
80,2,9.24810554694187
81,2,2.8331237029162
82,2,11.5274735636593
83,2,11.0746574272102
84,2,8.77906421589395
85,2,10.0876677290978
86,2,5.84931432417976
87,2,10.897945731692
88,2,26.1385466521955
89,2,3.5187993969105
90,2,6.80371838756533
91,2,13.1165669205876
92,2,1.93934889802036
93,2,19.9923683101765
94,2,20.5679339093439
95,2,17.0482600811694
96,2,18.6800067268859
97,2,7.69600740287216
98,2,4.94956022698838
99,2,13.269247691099
100,2,8.82375304158868
