sub,ses,context,travelled,travelling_match,travelling_overshoot,hamiltonian_match,hamiltonian_overshoot,accuracy,metatask_accuracy,transition_counts,transition_weights,entropy,clicks,reclicks
1,2,1,8.6503,0.9934640522875817,0,0.39215686274509803,0.6848699346405231,0.9947712418300654,1,34.285714285714285,0.808927105537275,-Inf,4.428571428571429,0.42857142857142855
1,2,2,8,0.993421052631579,0,0.993421052631579,0,1,1,59.75,0.7193821760524877,0.2181960079849795,4.375,0.375
2,2,1,9.4550477124183,0.6862745098039216,0.8047477124183008,0.3333333333333333,1.4269091503267977,0.877632489152097,0.9163902546255488,29.375,0.3769442204063915,2.357111640884021,9.285714285714286,5.285714285714286
2,2,2,8.301473684210526,0.8618421052631579,0.30147368421052634,0.8618421052631579,0.24696776315789476,0.9945175438596491,0.9975328947368421,34.857142857142854,0.7086909607412615,-Inf,7.5,3.625
3,2,1,9.54193628318584,0.5575221238938053,0.891636283185841,0.3805309734513274,1.417845132743363,0.7018065106345158,0.923549675028341,30.875,0.3973324822763215,2.30283782293673,3.658536585365854,0.5609756097560976
3,2,2,8.833079464285714,0.625,0.8330794642857143,0.625,0.7443151785714287,0.7420377241805813,0.9504023010719439,24.875,0.36792725703423046,2.2435143351208264,3.8048780487804876,0.5365853658536586
4,2,1,8.945365486725663,0.584070796460177,0.2950654867256641,0.4778761061946903,0.679257522123894,0.8465808527755431,1,34.875,0.736738655123728,0.4343701249386136,6.045454545454546,2.0454545454545454
4,2,2,8.01479375,0.9910714285714286,0.014793750000000003,0.9910714285714286,0.014793750000000003,0.9541782622139765,1,26.375,0.8361460391621541,0.4271739933336968,5.439024390243903,1.7317073170731707
5,2,1,9.649779738562092,0.6535947712418301,0.6011797385620915,0.21568627450980393,1.1468516339869277,0.9618943873845834,0.9862304180931631,28.4,0.44716071428571424,1.1021375732698515,7,3
5,2,2,9.096590131578948,0.6842105263157895,0.4462901315789476,0.48026315789473684,0.8125684210526317,0.9532633667502088,0.9803649749373433,29.7,0.5768722943722944,-Inf,6.75,2.75
6,2,1,9.352818300653595,0.8169934640522876,0.30421830065359473,0.35294117647058826,0.8554058823529409,0.985132369446095,1,33.125,0.7035450501749522,0.3027432742578758,6.285714285714286,2.2857142857142856
6,2,2,8.979630463576159,0.6622516556291391,0.3293304635761592,0.4370860927152318,0.7659311258278148,0.9874908020603385,0.9977924944812362,27.444444444444443,0.729201639976338,0.45220996906541316,7,3
7,2,1,9.552437168141594,0.7522123893805309,0.503837168141593,0.336283185840708,0.9678654867256634,0.7118465411315901,0.976714463149023,24.625,0.3603431057574835,2.2181454029789327,2.975,0.425
7,2,2,9.080616964285714,0.5357142857142857,0.4303169642857147,0.5178571428571429,0.781688392857143,0.6535656307977736,0.9678561765615337,26.3125,0.41541722166722167,2.0176029349899025,3.3,0.5
8,2,1,12.195633628318584,0.4424778761061947,3.147033628318584,0.19469026548672566,3.6721353982300884,0.47732866378251404,0.697504687426814,74.5625,0.2922460738851327,3.033234867260333,6.771428571428571,3.8857142857142857
8,2,2,10.56830625,0.6071428571428571,1.9180062500000001,0.32142857142857145,2.496199107142857,0.5223465111104856,0.7550153174371811,51,0.3163628688420697,2.9567110337725486,6.829268292682927,3.951219512195122
9,2,1,8.880969281045752,0.7581699346405228,0.4826692810457514,0.3202614379084967,1.0902784313725487,0.768384168268828,0.8906024472345119,35.5625,0.4103838575499583,2.1736283176443854,4.571428571428571,1
9,2,2,9.565147368421053,0.7236842105263158,0.5165473684210526,0.3684210526315789,1.0364190789473682,0.7682439760735345,0.8589685373242079,39.5,0.481212170423711,1.9839100558084362,7.5,3.625
10,2,1,9.521562091503268,0.5686274509803921,1.1232620915032676,0.2222222222222222,1.8211640522875814,0.7067736759730223,0.9126040369095925,43.625,0.2717994882262252,2.9162790088073804,4.285714285714286,1.1428571428571428
10,2,2,9.933219078947369,0.47368421052631576,0.8846190789473685,0.25,1.4473230263157892,0.7706727391760286,0.9305140400535138,32.5,0.36078967990954647,2.440866294076217,3.875,0.625
11,2,1,8.3983,1,0,0.008849557522123894,0.9181610619469024,0.9237357774968394,0.9966814159292036,31.875,0.9487770294221907,-Inf,4.256410256410256,0.28205128205128205
11,2,2,9.073055357142858,0.9821428571428571,0.02445535714285715,0.8482142857142857,0.14420803571428564,0.9160289115646258,0.9982142857142857,25.88888888888889,0.8850790131277936,-4.047528218960161,4.186046511627907,0.20930232558139536
12,2,1,9.046638053097345,0.5752212389380531,0.6483380530973448,0.168141592920354,1.4620619469026546,0.4984541558471666,0.7142430070013702,46.0625,0.3251839879562391,2.821459247457133,3.026315789473684,0.4473684210526316
12,2,2,9.76946875,0.6339285714285714,0.72086875,0.30357142857142855,1.1969446428571426,0.5612082688476568,0.7609112811101008,42.1875,0.3200939976945187,2.7690306600940175,2.857142857142857,0.09523809523809523
13,2,1,8.4721,1,0,0.6013071895424836,0.09409150326797376,0.9923747276688453,1,30.25,0.9956845238095238,-0.054112704250086255,4.285714285714286,0.2857142857142857
13,2,2,8.052631578947368,0.9868421052631579,0.05263157894736842,0.9868421052631579,0.05263157894736842,0.9782894736842105,1,31.25,0.8410624607658506,0.1767040752323222,4.125,0.125
14,2,1,8.857839869281046,0.7450980392156863,0.38573986928104587,0.6470588235294118,0.3205764705882352,0.9900015561780268,0.9959150326797386,26.11111111111111,0.7721624675333442,0.3436778838958608,5.428571428571429,1.7142857142857142
14,2,2,8.31743947368421,0.7763157894736842,0.31743947368421055,0.7763157894736842,0.20842763157894742,0.9909774436090225,1,34.857142857142854,0.4969574502984641,-Inf,6.125,2.125
15,2,1,9.05970442477876,0.6106194690265486,0.5876044247787613,0.6194690265486725,0.49896548672566354,0.9677623261694058,1,25.25,0.6371130952380952,0.650935075748307,4.782608695652174,0.8913043478260869
15,2,2,8.716225892857143,0.5803571428571429,0.716225892857143,0.5803571428571429,0.5978687500000001,0.9736111111111111,0.9990079365079365,22.444444444444443,0.6829041772048998,0.456213028990391,4.770833333333333,0.8541666666666666
16,2,1,9.224503539823008,0.5663716814159292,0.7524035398230091,0.45132743362831856,0.7389699115044245,0.9710493046776233,1,25.5,0.4261018668607408,0.8856609944668813,4,0.08695652173913043
16,2,2,8.7396875,0.5535714285714286,0.7396875000000002,0.5535714285714286,0.6213303571428572,0.9818027210884354,1,21.75,0.47994984260628815,0.6727366317368583,3.9782608695652173,0.10869565217391304
17,2,1,8.306611764705883,0.8823529411764706,0.30661176470588236,0.8823529411764706,0.2849535947712418,0.9153798815563522,0.9995331465919701,43.77777777777778,0.5980486450176337,0.8542010892075956,13.714285714285714,9.714285714285714
17,2,2,8.944438157894735,0.8092105263157895,0.472338157894737,0.5986842105263158,0.4387394736842104,0.8746748682603945,0.9983552631578947,50.5,0.561632633258582,-Inf,9,5.125
18,2,1,8.731366666666666,0.5947712418300654,0.7313666666666667,0.5947712418300654,0.6230679738562093,0.9970951343500363,1,33.125,0.7184813978292239,0.4096329320568405,6.571428571428571,2.5714285714285716
18,2,2,9.183813157894736,0.5921052631578947,0.7117131578947371,0.45394736842105265,0.7007809210526313,0.9967105263157895,1,33.42857142857143,0.6484900591536349,-Inf,7.25,3.25
19,2,1,9.025950442477876,0.6106194690265486,1.0259504424778763,0.6106194690265486,0.8939805309734514,0.5832057075478128,0.9086057738945489,38.625,0.33265372423946415,2.542396555551344,2.871794871794872,0.5128205128205128
19,2,2,9.110955357142856,0.6071428571428571,0.6388553571428573,0.5803571428571429,0.5409946428571427,0.5854513176881598,0.8948325392756784,34,0.396086617653351,2.400670343201256,3.4878048780487805,0.6097560975609756
20,2,1,8.682338938053098,0.6106194690265486,0.6823389380530974,0.6106194690265486,0.572361946902655,0.8653305642243695,1,36,0.3865680789306438,1.1566694454909372,3.891304347826087,0.41304347826086957
20,2,2,9.243051785714286,0.5446428571428571,0.7709517857142859,0.42857142857142855,0.7455928571428568,0.8768565759637188,0.9987244897959183,30.88888888888889,0.46928915393446285,1.2029071583542008,3.8260869565217392,0.3695652173913043
