"","sid","ses","context","train_type","transfer","nclicks","k4_onset"
"290",73,1,2,1,NA,147,43
"291",73,3,NA,1,1,227,221
"292",73,3,NA,1,2,234,216
"293",74,1,1,1,NA,143,76
"294",74,1,2,1,NA,181,130
"295",74,3,NA,1,1,217,61
"296",74,3,NA,1,2,211,70
"297",75,1,1,2,NA,141,74
"298",75,1,2,2,NA,126,54
"299",75,3,NA,2,1,201,Inf
"300",75,3,NA,2,2,216,216
"301",76,1,1,2,NA,159,69
"302",76,1,2,2,NA,165,67
"303",76,3,NA,2,1,214,Inf
"304",76,3,NA,2,2,208,Inf
"305",77,1,1,1,NA,400,322
"306",77,1,2,1,NA,144,68
"307",77,3,NA,1,1,208,136
"308",77,3,NA,1,2,235,229
"309",78,1,1,1,NA,382,308
"310",78,1,2,1,NA,150,75
"311",78,3,NA,1,1,215,29
"312",78,3,NA,1,2,214,144
"313",79,1,1,2,NA,170,89
"314",79,1,2,2,NA,148,68
"315",79,3,NA,2,1,224,192
"316",79,3,NA,2,2,202,146
"317",80,1,1,2,NA,221,152
"318",80,1,2,2,NA,136,61
"319",80,3,NA,2,1,217,164
"320",80,3,NA,2,2,287,Inf
"321",81,1,1,1,NA,165,89
"322",81,1,2,1,NA,148,69
"323",81,3,NA,1,1,208,16
"324",81,3,NA,1,2,205,191
"325",82,1,1,1,NA,131,58
"326",82,1,2,1,NA,153,89
"327",82,3,NA,1,1,202,102
"328",82,3,NA,1,2,197,50
"329",83,1,1,2,NA,291,255
"330",83,1,2,2,NA,125,30
"331",83,3,NA,2,1,199,Inf
"332",83,3,NA,2,2,225,215
"333",84,1,1,2,NA,196,115
"334",84,1,2,2,NA,155,59
"335",84,3,NA,2,1,188,184
"336",84,3,NA,2,2,217,182
"337",85,1,1,1,NA,430,412
"338",85,1,2,1,NA,145,46
"339",85,3,NA,1,1,208,Inf
"340",85,3,NA,1,2,211,73
"341",86,1,1,1,NA,132,73
"342",86,1,2,1,NA,144,69
"343",86,3,NA,1,1,199,49
"344",86,3,NA,1,2,203,44
"345",87,1,1,2,NA,173,86
"346",87,1,2,2,NA,151,56
"347",87,3,NA,2,1,225,Inf
"348",87,3,NA,2,2,200,112
"349",88,1,1,2,NA,152,93
"350",88,1,2,2,NA,153,Inf
"351",88,3,NA,2,1,395,Inf
"352",88,3,NA,2,2,392,374
"353",89,1,1,1,NA,146,59
"354",89,1,2,1,NA,156,51
"355",89,3,NA,1,1,213,102
"356",89,3,NA,1,2,233,216
"357",90,1,1,1,NA,487,425
"358",90,1,2,1,NA,135,38
"359",90,3,NA,1,1,230,Inf
"360",90,3,NA,1,2,274,258
"361",91,1,1,2,NA,147,100
"362",91,1,2,2,NA,234,187
"363",91,3,NA,2,1,382,Inf
"364",91,3,NA,2,2,389,Inf
"365",92,1,1,2,NA,143,62
"366",92,1,2,2,NA,137,47
"367",92,3,NA,2,1,206,60
"368",92,3,NA,2,2,214,59
"369",93,1,1,1,NA,533,532
"370",93,1,2,1,NA,210,135
"371",93,3,NA,1,1,183,84
"372",93,3,NA,1,2,194,47
"373",94,1,1,1,NA,438,430
"374",94,1,2,1,NA,192,150
"375",94,3,NA,1,1,184,96
"376",94,3,NA,1,2,207,55
"377",95,1,1,2,NA,177,115
"378",95,1,2,2,NA,152,72
"379",95,3,NA,2,1,393,388
"380",95,3,NA,2,2,261,198
"381",96,1,1,2,NA,130,53
"382",96,1,2,2,NA,146,63
"383",96,3,NA,2,1,211,68
"384",96,3,NA,2,2,204,55
"385",97,1,1,1,NA,150,73
"386",97,1,2,1,NA,161,77
"387",97,3,NA,1,1,216,197
"388",97,3,NA,1,2,232,Inf
