"sub","r"
1,2.80301628372455
2,16.9927236548012
3,26.9527216844043
4,6.09408400028484
5,13.4142737837575
6,5.73263092714933
7,27.9365098870664
8,34.741827540943
9,23.9214143242355
10,29.8952527485289
11,4.49431215088395
12,32.545345380708
13,4.67922733409052
14,7.17016944102336
15,6.88882097834198
16,10.4135626652593
17,10.0992951624253
18,5.33940762064612
19,29.3568576741955
20,13.3287486685591
21,9.45844210847511
22,12.3838840136863
23,29.7241406641433
24,15.5147260676635
25,12.8782053171448
26,7.39802475994523
27,13.8133859541766
28,19.1926244664746
29,11.6606431276456
30,10.4033377657758
31,16.4210839038294
32,33.4053536048155
33,7.7351836879331
34,9.22763568778308
35,6.34739956772258
36,12.0060479163899
37,15.3379469986303
38,24.7171233913195
39,25.8932900589734
40,23.728804603623
41,17.7894651950761
42,5.66422698805414
43,9.54145574756271
44,6.22557505331492
45,1.79445392738416
46,7.01346948201089
47,10.6654500618302
48,6.40705195487414
49,26.2879518715799
50,7.44120664634397
51,17.0088954994304
52,10.6135635871661
53,27.1082841594289
54,10.0382685932003
55,33.4630785907271
56,18.1478281099861
57,6.20231506665799
58,7.86844450531608
59,32.1875703221223
60,31.6936309242007
61,4.92031287932281
62,26.8069024504767
63,32.4199551657284
64,11.2924899639738
65,11.3699967481233
66,14.7593580947298
67,12.1122155600499
68,10.4912743898889
69,25.9402062429818
70,4.24299939188494
71,25.5019929964737
72,9.18744001884126
73,9.37282783598882
74,5.70226467425583
75,9.77471219205073
76,9.44713328887293
77,10.0141441781
78,5.95512310772731
79,10.2112299359525
80,26.7114265496299
81,1.61335801496125
82,9.91490838852031
83,13.0586417320017
84,4.40149523258037
85,6.45055318559208
86,6.40790741735046
87,10.5410325030911
88,33.1046172969754
89,16.905105347653
90,20.2163087367879
91,25.4679203601988
92,10.2101785653808
93,17.666451692979
94,8.17194589172706
95,25.7311799856135
96,17.2350777421199
97,8.65348973439826
98,5.046929815861
99,10.6006162337813
100,12.6171948517692
