sub,context,train_type,null_llike,exp_llike,BF,entropy
1,1,1,-76.86276984776578,15.860882474957634,18593902343117418e24,-14.810530382872912
1,2,1,-82.42662944755767,16.176566664843747,6650035590787103e27,-15.397183961339124
2,1,1,-2.1845503207048296,11.556377449158774,928130.6327059962,-9.391169270014814
2,2,1,-15.830217988406133,12.720321552186618,2508082268498.2446,-10.56010972001232
3,1,2,8.738539406344074,10.803342717773958,7.883747102203342,-8.556462013692737
3,2,2,6.029331948115541,10.627026930671718,99.25526664137674,-8.480705799448188
4,1,2,-5.442375641953916,11.783736620143728,30283460.461800948,-9.849096985930615
4,2,2,-32.124773846836106,13.057811673964089,419321923977518e5,-11.493493243070503
5,1,1,5.585803383980405,10.961037264173399,215.99038227603515,-8.748986286589385
5,2,1,-8.826331217181576,11.809109030115252,915920608.8277937,-10.038164881623814
6,1,1,-28.01078127977425,13.15055255596674,751865491925080400,-11.520594532123795
6,2,1,-7.419964173742102,12.121325446729188,306672088.9284277,-9.983030655299586
7,1,2,-4.796594534516167,10.492060734109018,4362933.754977224,-9.229482154943668
7,2,2,2.0390014896126587,10.160309223263177,3365.418940215458,-8.25130145367379
8,1,2,4.984702293531754,10.590401811802167,271.97210836718136,-8.438552821997433
8,2,2,8.734182168629857,9.802715082387564,2.911105522734712,-7.667390614065759
9,1,1,-1.0679672381649397,11.426930218745454,266971.57122755935,-9.40135258308095
9,2,1,-7.2656834689169045,11.745950743367374,180570928.1488366,-9.963330642611183
10,1,1,6.313979116872176,10.770687951901621,86.20333232882369,-8.60207516212617
10,2,1,7.763979766345926,10.807205525218876,20.972787390960253,-8.577534101209352
11,1,2,-13.158048669411528,12.087412153323974,92037397202.845,-11.120174065283848
11,2,2,-26.867294280720827,12.239815175064193,96383310677297980,-11.551379563421207
12,1,2,4.977402991050141,10.51494726657642,254.05334776251266,-8.405224329755896
12,2,2,5.454705922777492,10.559745310520881,164.8505634954613,-8.399032641719373
13,1,1,-69.58422033630438,14.862823549610653,47302617447506895e20,-14.012916065418437
13,2,1,-69.27516596050424,15.03764309986385,41360685563246454e20,-14.645128514684302
14,1,1,1.1295922166650314,11.094846907049984,21274.29234023989,-8.985892298467576
14,2,1,-12.690563558773377,11.980532392225506,51822795190.14114,-10.06300190005139
15,1,2,-2.4173135923416993,11.108425217069431,748434.3793137663,-9.353607941917858
15,2,2,7.999603047205142,10.12704163523675,8.393340451584008,-7.972892393128205
16,1,2,8.51027819668748,10.275270848701297,5.841529434450719,-8.085285682579382
16,2,2,3.462275758087273,10.59037903617127,1246.5104396312768,-8.497251053946982
17,1,1,-32.61939668790282,13.79593400603126,14385401779289478e4,-12.027310550514244
17,2,1,-37.26848800650171,13.582181934741001,12138509332746726e6,-11.53182765862519
18,1,1,-0.12716665596830978,12.00184468931576,185166.61961403725,-9.732825639684421
18,2,1,8.099623107436116,11.158197390633575,21.29717177105202,-8.893275892388232
19,1,2,3.4986434022581676,10.697824786320794,1338.3347336989807,-8.58148715971707
19,2,2,4.9166349195657375,10.702638685995495,325.7088116550589,-8.537606386006132
20,1,2,6.969833155740332,10.385259923926938,30.429933184244565,-8.232142228933824
20,2,2,4.153094648887603,10.613446597694391,639.286012930117,-8.813932596995471
21,1,1,3.3903023502955705,11.658541608965322,3898.079436600954,-9.41823550939236
21,2,1,-0.2533786831755833,11.731551012934489,160320.41670932522,-9.535553556272475
22,1,1,-0.36159226781580855,11.670220676276145,168015.73993599365,-9.435513156600763
22,2,1,6.064965535365005,11.305771345819025,188.82219601762685,-9.039694971319776
23,1,2,7.375286781698051,9.956430037039794,13.212234486188802,-7.83384650771837
23,2,2,6.135946833534831,9.91583617249804,43.81119327524018,-7.855526435108757
24,1,2,3.1530463273043807,10.866625241828686,2238.5394804218477,-8.795421390148377
24,2,2,8.779941763636614,10.379297029055238,4.94984006233212,-8.173824482134492
25,1,1,-50.20306981731579,14.03881759300971,7941402520220051e12,-12.090038378587792
25,2,1,-7.83244533866943,12.42354943584698,626710189.799627,-10.223801059695205
26,1,1,0.18104895142444377,12.08173099863842,147367.10229316153,-9.857812726558649
26,2,1,-31.698160490920515,13.068677704996723,2766883036472328e4,-11.42023548587477
27,1,2,-6.663388211572865,11.329305593816173,65181992.8447849,-9.98229401924307
27,2,2,-1.2399077020708233,10.843134439635932,176847.337909919,-9.1234832089538
28,1,2,0.47305816555446256,10.796408505718134,30435.054759786155,-8.730617653363737
28,2,2,4.499617221362328,10.482921530814544,396.74918668146387,-8.387809494387582
29,1,1,4.874307064752259,11.058720589129194,485.12836420211556,-8.857848346874306
29,2,1,-0.5641833377385126,11.607292133667613,193198.89309189527,-9.458323354743982
30,1,1,-5.484308130758237,11.53214992031949,24555785.61596151,-9.596014578743379
30,2,1,-3.8007622461704216,11.351712011385587,3807465.3283187044,-9.312965946736696
31,1,2,2.8388754640688774,11.042393308851572,3653.7811606181376,-8.8992248809123
31,2,2,4.979667580410094,11.010612186782168,416.10790197347114,-8.815891331059916
32,1,2,8.76235304559652,9.647401433292863,2.4231016369551273,-7.528621263625908
32,2,2,5.746818144746371,9.785144609986943,56.7313214784571,-7.752748835440379
33,1,1,-12.946832440391859,12.601654274632182,124613989842.16202,-10.787431790435193
33,2,1,-8.212376008042341,11.977496189985146,586610842.532955,-9.890323347056153
34,1,1,-18.7668720907334,12.870740696003622,54959231823643.625,-11.354352086001029
34,2,1,-32.488376692650576,13.685240948779693,11296589596466751e4,-12.45301335814358
35,1,2,6.682911503916706,9.99242638744483,27.37184371831159,-7.95897709220975
35,2,2,0.486721991018527,10.3354475378299,18934.20865614981,-8.738287602347455
36,1,2,6.530264992821259,10.923372212237538,80.89137614364309,-8.707361759344096
36,2,2,3.0755023657203395,10.997380752102416,2756.944792615532,-8.866773032493455
37,1,1,-53.10144255809756,13.937096921696597,1301570722196337e14,-12.69461640397327
37,2,1,-32.822075151975824,13.537453373538497,1360465153132926e5,-12.478638985076003
38,1,1,8.356127516860226,10.285879763938482,6.887803556716362,-8.099388971006093
38,2,1,5.90165633339889,10.949185744050041,155.63747282143356,-8.737458283626907
39,1,2,3.158233065483522,10.127436798852727,1063.3756827647628,-8.146102710347485
39,2,2,6.942422699401774,9.841703859280123,18.161085759023116,-7.748113412086802
40,1,2,-6.968409396327019,10.627452309260288,43831430.33615726,-9.214687940479095
40,2,2,-0.12048275974071032,10.393143451869392,36813.73217976604,-8.73752427502749
41,1,1,-63.50996831807825,14.623423609842199,8568424349031885e18,-13.373926805274664
41,2,1,-37.26031553739301,13.562715569797717,11807609001765675e6,-11.678231971733084
42,1,1,8.924865569520733,10.636657665167789,5.538878789151993,-8.398134793292414
42,2,1,-8.145344367092278,11.53025921486963,350756771.2993936,-9.53544493228739
43,1,2,-11.32083737657851,12.061382232177557,14281339739.58933,-10.476266380695705
43,2,2,-16.471234613049944,12.12447982401028,2623982812987.0483,-10.487940857888745
44,1,2,-23.458738675754006,12.115435890230525,2816227352680282.5,-10.964625475513074
44,2,2,-28.698598938723677,12.62766256444705,886680849148559100,-11.249121159730734
45,1,1,-125.13015012539469,16.944609274308775,5038300017481218e46,-16.10783015277076
45,2,1,-127.89226754776715,17.193879081805452,10235590011825211e47,-16.62714184732215
46,1,1,-2.797829519088765,11.862887636189143,2328458.818218244,-9.713672462659247
46,2,1,-32.530009035961626,13.392571070075164,8788669536010833e4,-11.818272111308488
47,1,2,-11.833109720870688,11.438156143504763,12781515522.82236,-9.853337744139267
47,2,2,-21.02277266441908,12.053139107594191,231571957343241.84,-10.641595341102558
48,1,2,-1.9083622700404135,10.836245087843707,342698.85196426377,-8.904060204651984
48,2,2,-7.686014593263067,11.387853853383753,192165674.63601023,-9.819512550773524
49,1,1,0.6512567603234913,10.995023930964464,31062.82888534035,-8.854739624640786
49,2,1,-1.8848432547806482,10.715246104656224,296585.066788659,-8.953153700676907
50,1,1,-19.913312042699587,12.437774565068821,112175599013610.56,-10.882650059753104
50,2,1,-4.938581084296729,11.591898374852192,15104140.34371983,-9.942744728699665
51,1,2,-2.640457143655908,11.127458795782367,953520.2481838245,-9.380464390603649
51,2,2,-0.3153991948097854,10.759857923885846,64553.98430522464,-8.700125127187178
52,1,2,-1.7507333258368192,10.949199835903784,327725.996506596,-9.311095258625485
52,2,2,-0.24665592906053746,10.647845916817658,53879.31116767114,-8.802739683818288
53,1,1,6.116343325105177,10.592297781860367,87.87843656181144,-8.422515156235804
53,2,1,5.5244528093190155,10.863015886207847,208.21330871674473,-8.659766151126362
54,1,1,-7.972713904633125,12.10120072429774,522384585.77289754,-10.162346694211351
54,2,1,0.267683390136213,11.309383592551939,62423.69453633985,-9.236043468510573
55,1,2,5.202916773386292,10.437131537399395,187.58175255542983,-8.397088054827492
55,2,2,4.407304421096981,10.226632451741352,336.74569479794536,-8.16265241492819
56,1,2,4.5896259778909325,10.23958560523689,284.2799884546113,-8.191763293511457
56,2,2,2.797866508662878,10.491128631072797,2193.5184294337278,-8.733337157616745
57,1,1,7.195241296414508,11.018604703355749,45.75785207004982,-8.774608117671534
57,2,1,-8.394097974511467,11.740591596470125,555117061.4389927,-9.860148639905603
58,1,1,4.23546573815409,11.574020013165836,1538.4862770252873,-9.355178312678134
58,2,1,-28.163431716633838,12.739280445173442,580526683736159700,-10.824832417607524
59,1,2,-4.637010270371036,11.416227657914845,9372007.963167397,-9.42124690146909
59,2,2,7.933569400770324,10.550811055095878,13.697887917256267,-8.352906390576251
60,1,2,-0.6833735806728143,10.562081168202113,76531.27416400738,-8.63225302343701
60,2,2,7.375286781698051,9.976793884574526,13.484044571498512,-7.871544920416795
61,1,1,-6.27969227345082,12.286617576592917,115676707.06170006,-10.477117925670854
61,2,1,-3.8112300395734593,11.936935069562054,6907823.094511269,-10.129968127213303
62,1,1,-10.824316748650318,12.057008229131597,8654324522.714552,-9.993239937541261
62,2,1,-7.683708987517022,11.496181483264479,213658706.57026315,-9.454108026677218
63,1,2,7.485299159062819,10.240539960847954,15.724827013349964,-8.103279964313543
63,2,2,6.277446395808525,9.844147798460398,35.39963122285077,-7.804428899552207
64,1,2,-47.16139571498401,13.864572919175245,3185968155535454e11,-12.4408976662327
64,2,2,-64.22691605224676,14.560955246692352,16486852253344017e18,-13.333774652873018
65,1,1,-32.56123708437087,13.642467767252668,11641637193051274e4,-12.27000881314666
65,2,1,-2.13006244436761,12.10579449337206,1522488.8236326452,-9.831474336073626
66,1,1,-0.6383452697354102,11.789902236091592,249757.94450307547,-9.612429603343202
66,2,1,0.5876255524501346,11.636165516326571,62852.12121437313,-9.465158720620394
67,1,2,-3.9320286321640765,11.473805305549462,4905334.957856613,-9.454860129710255
