"","sub","mu_z","gmu","gsd"
"2",2,-5.95041393866269,-13.927949430099,25.7013883972259
"3",3,-12.4685354848971,-13.927949430099,25.7013883972259
"4",4,-23.9017289362389,-13.927949430099,25.7013883972259
"5",5,-1.3874604733557,-13.927949430099,25.7013883972259
"6",6,-6.7446786116959,-13.927949430099,25.7013883972259
"7",7,-7.41825829600213,-13.927949430099,25.7013883972259
"8",8,-43.2893733147038,-13.927949430099,25.7013883972259
"9",9,-39.3569183687171,-13.927949430099,25.7013883972259
"10",10,-4.99232038962528,-13.927949430099,25.7013883972259
"11",11,-22.7338881566382,-13.927949430099,25.7013883972259
"12",12,-48.0878567097915,-13.927949430099,25.7013883972259
"13",13,-9.13744517755627,-13.927949430099,25.7013883972259
"14",14,-1.15816660706044,-13.927949430099,25.7013883972259
"15",15,-8.51014274362778,-13.927949430099,25.7013883972259
"16",16,0.861714560081653,-13.927949430099,25.7013883972259
"17",17,-28.2398191570243,-13.927949430099,25.7013883972259
"18",18,-16.1881658908203,-13.927949430099,25.7013883972259
"19",19,-23.344901787982,-13.927949430099,25.7013883972259
"20",20,-4.22326845276247,-13.927949430099,25.7013883972259
"21",21,-0.279704397097717,-13.927949430099,25.7013883972259
"22",22,-0.087862283153183,-13.927949430099,25.7013883972259
"23",23,-31.8798857619179,-13.927949430099,25.7013883972259
"24",24,-2.35907553094923,-13.927949430099,25.7013883972259
"25",25,-3.10213416225687,-13.927949430099,25.7013883972259
"26",26,-5.33047201207335,-13.927949430099,25.7013883972259
"27",27,-2.43712777546882,-13.927949430099,25.7013883972259
"28",28,-0.623007580694893,-13.927949430099,25.7013883972259
"29",29,-6.45924431686816,-13.927949430099,25.7013883972259
"30",30,0.0205171141541335,-13.927949430099,25.7013883972259
"31",31,-3.59257239949488,-13.927949430099,25.7013883972259
"32",32,-5.34655253861105,-13.927949430099,25.7013883972259
"33",33,-0.969024832019714,-13.927949430099,25.7013883972259
"34",34,-1.37037849611434,-13.927949430099,25.7013883972259
"35",35,-3.41689101534033,-13.927949430099,25.7013883972259
"36",36,-2.50496104854233,-13.927949430099,25.7013883972259
"37",37,-2.01836820178586,-13.927949430099,25.7013883972259
"38",38,-3.77370431699241,-13.927949430099,25.7013883972259
"39",39,-11.3250251408045,-13.927949430099,25.7013883972259
"40",40,-13.9177954867463,-13.927949430099,25.7013883972259
"41",41,-14.9118541741222,-13.927949430099,25.7013883972259
"42",42,-19.9778590619826,-13.927949430099,25.7013883972259
"43",43,-14.5374844055345,-13.927949430099,25.7013883972259
"44",44,-11.0749703168903,-13.927949430099,25.7013883972259
"45",45,-22.2315648019955,-13.927949430099,25.7013883972259
"46",46,-4.79853282842364,-13.927949430099,25.7013883972259
"47",47,-6.16924827767763,-13.927949430099,25.7013883972259
"48",48,-6.88401695333359,-13.927949430099,25.7013883972259
"49",49,-7.84265421042776,-13.927949430099,25.7013883972259
"50",50,-2.99780414177375,-13.927949430099,25.7013883972259
"51",51,-3.02729908840438,-13.927949430099,25.7013883972259
"52",52,-3.30664266895855,-13.927949430099,25.7013883972259
"53",53,-10.7973584782236,-13.927949430099,25.7013883972259
"54",54,-11.9350299321908,-13.927949430099,25.7013883972259
"55",55,-30.262380717165,-13.927949430099,25.7013883972259
"56",56,-1.97498177845526,-13.927949430099,25.7013883972259
"57",57,-1.78405788103409,-13.927949430099,25.7013883972259
"58",58,-6.64495993970629,-13.927949430099,25.7013883972259
"59",59,-38.9696935480306,-13.927949430099,25.7013883972259
"60",60,-39.1206583315182,-13.927949430099,25.7013883972259
"61",61,-22.5587895219639,-13.927949430099,25.7013883972259
"62",62,-20.3781686902323,-13.927949430099,25.7013883972259
"63",63,-13.8164256080397,-13.927949430099,25.7013883972259
"64",64,-14.5498665429127,-13.927949430099,25.7013883972259
"65",65,-1.83609770406076,-13.927949430099,25.7013883972259
"66",66,-0.973750848228802,-13.927949430099,25.7013883972259
"67",67,-12.284338613643,-13.927949430099,25.7013883972259
"68",68,-8.52970154239701,-13.927949430099,25.7013883972259
"69",69,-4.08692356700806,-13.927949430099,25.7013883972259
"70",70,-8.82425331254553,-13.927949430099,25.7013883972259
"71",71,-6.66787531852107,-13.927949430099,25.7013883972259
"72",72,-13.9326319270709,-13.927949430099,25.7013883972259
"73",73,-6.16611249991314,-13.927949430099,25.7013883972259
"74",74,-10.4048720279501,-13.927949430099,25.7013883972259
"75",75,-9.29460434310801,-13.927949430099,25.7013883972259
"76",76,-8.13317736536884,-13.927949430099,25.7013883972259
"77",77,0.8777739797918,-13.927949430099,25.7013883972259
"78",78,-5.37461435824437,-13.927949430099,25.7013883972259
"79",79,-4.98719928847848,-13.927949430099,25.7013883972259
"80",80,-8.05680613676932,-13.927949430099,25.7013883972259
"82",82,-2.690660677342,-13.927949430099,25.7013883972259
"83",83,-9.1062739127373,-13.927949430099,25.7013883972259
"84",84,-32.5933819242804,-13.927949430099,25.7013883972259
"85",85,-1.77870891069601,-13.927949430099,25.7013883972259
"86",86,-6.80984168607314,-13.927949430099,25.7013883972259
"87",87,-2.83217083766808,-13.927949430099,25.7013883972259
"88",88,-13.8814123957292,-13.927949430099,25.7013883972259
"89",89,-3.57097943456419,-13.927949430099,25.7013883972259
"90",90,-1.29219118714604,-13.927949430099,25.7013883972259
