sub,ses,context,travelled,travelling_match,travelling_overshoot,hamiltonian_match,hamiltonian_overshoot,accuracy,metatask_accuracy,transition_counts,transition_weights,entropy,clicks,reclicks
1,2,1,8.854109803921569,0.9607843137254902,0.20380980392156864,0.3333333333333333,0.8973124183006539,0.9781334102268359,0.989042675893887,24.181818181818183,0.7280441666852346,0.4709212676625747,5.714285714285714,1.7142857142857142
1,2,2,8,0.9868421052631579,0,0.9868421052631579,0,0.9957706766917294,1,33,0.8724607648099028,0.18626445580734186,4.875,0.875
2,2,1,9.031118954248365,0.7973856209150327,0.38081895424836615,0.2875816993464052,1.0282098039215688,0.9824255628177196,1,35,0.6957419154385127,0.23590906896577618,7.857142857142857,3.857142857142857
2,2,2,8.8324125,0.5526315789473685,0.8324125000000001,0.5526315789473685,0.7124986842105264,0.9937865497076024,0.9992690058479532,28.88888888888889,0.6358015461633882,0.5662602273965311,11.875,7.875
3,2,1,9.420449999999999,0.6875,0.7701500000000001,0.38392857142857145,1.3414928571428573,0.6218899962437595,0.7774361238744003,38.6875,0.34854802752990816,2.595712120556105,2.526315789473684,0.18421052631578946
3,2,2,8.970552293577981,0.6055045871559633,0.9705522935779818,0.6055045871559633,0.8413385321100918,0.4408440886664437,0.7056774951993492,53.125,0.3115024371110195,2.756827020588234,3.130434782608696,0.6086956521739131
4,2,1,10.29104778761062,0.4424778761061947,1.6407477876106198,0.26548672566371684,2.2604212389380534,0.6776488976373547,0.9827203609523733,35.86666666666667,0.46375468863660624,-Inf,3.717948717948718,1.1282051282051282
4,2,2,9.3832875,0.49107142857142855,1.3832875000000002,0.49107142857142855,1.213150892857143,0.7656010699734439,0.9945596988795519,24.125,0.51684904963461,1.655694804201374,4,1.2045454545454546
5,2,1,9.81873137254902,0.6013071895424836,0.7701313725490196,0.13071895424836602,1.4596241830065355,0.8949560882512752,0.9633690721203425,26.5,0.356286357707574,2.4053586306447263,4.428571428571429,0.8571428571428571
5,2,2,9.259154605263157,0.5855263157894737,0.6088546052631582,0.32894736842105265,1.1708217105263161,0.9036947153723469,0.970894073032231,22.866666666666667,0.44191420495768324,1.9605611717646803,6.142857142857143,2.142857142857143
6,2,1,9.44262091503268,0.6862745098039216,0.39402091503267983,0.2222222222222222,0.9231444444444441,0.9669675277518415,1,35.25,0.7158277569922177,0.33134103495227696,3.7142857142857144,0.2857142857142857
6,2,2,9.136713157894738,0.7039473684210527,0.48641315789473705,0.375,0.9947407894736844,0.9742481203007519,1,33.875,0.7343984962406015,0.05537448174759445,4,0.25
7,2,1,9.47895575221239,0.672566371681416,0.4303557522123894,0.22123893805309736,0.9284486725663713,0.9614131198201995,1,23.625,0.4016404308553376,0.9586057420246213,3.659090909090909,0.022727272727272728
7,2,2,9.170167857142857,0.625,0.5198678571428574,0.33035714285714285,1.0240089285714289,0.9824404761904761,1,21.125,0.5761801319153277,0.6912597514501279,3.625,0.020833333333333332
8,2,1,9.502546902654867,0.672566371681416,0.45394690265486737,0.168141592920354,1.0503044247787607,0.9564124174743643,0.9834386852085967,15.714285714285714,0.6798079044507616,0.8512331817702617,3.891304347826087,0.2608695652173913
8,2,2,8.817547321428572,0.8928571428571429,0.16724732142857152,0.48214285714285715,0.6558517857142859,0.91796875,0.963578869047619,16.0625,0.7333323462896634,0.9439476721542945,4.4375,0.5208333333333334
9,2,1,9.282883006535949,0.5947712418300654,0.8845830065359475,0.20915032679738563,1.6745718954248363,0.661858585025282,0.8102433916250464,45.5625,0.5089719553202934,2.109044793876076,6.142857142857143,3.4285714285714284
9,2,2,9.810266447368422,0.6381578947368421,0.761666447368421,0.19736842105263158,1.4332973684210524,0.47239132748398976,0.6993669355021848,69.25,0.5343918023897242,2.1069239719094854,6.714285714285714,3.5714285714285716
10,2,1,9.130663815789474,0.6052631578947368,0.7323638157894734,0.25,1.139586184210526,0.7490835331081327,0.9939883676582761,41.75,0.7477114227723682,-Inf,3,0.16666666666666666
10,2,2,9.686986666666668,0.5466666666666666,0.6383866666666668,0.18666666666666668,0.9986199999999996,0.7058518518518518,0.9935555555555555,41.46153846153846,0.7692621992086535,0.6255465889621276,2.625,0
11,2,1,9.966271681415929,0.39823008849557523,1.5679716814159286,0,1.7080654867256633,0.9720736490647995,1,27.375,0.9583333333333334,-3.6908803069473346,4.51063829787234,0.5319148936170213
11,2,2,9.0486,1,0,0.9732142857142857,0.022947321428571414,0.9955357142857143,1,21.625,0.9375,-13.870788837201788,4.319148936170213,0.3191489361702128
12,2,1,8.816193805309736,0.46017699115044247,0.41789380530973413,0.008849557522123894,0.29716902654867233,0.9828908554572271,1,26.714285714285715,0.9110159724232297,-Inf,4.531914893617022,0.5319148936170213
12,2,2,9.0486,1,0,0.9642857142857143,0.04682499999999999,1,1,44.25,1,-33.497711294943116,4.826086956521739,0.8260869565217391
13,2,1,9.0158379084967315,0.738562091503268,0.5437379084967322,0.48366013071895425,0.5643614379084966,0.9721507795037206,0.9913882051136953,18.1875,0.7393077593773096,0.7839506748250249,7.857142857142857,3.857142857142857
13,2,2,8.788809210526315,0.5789473684210527,0.7888092105263159,0.5789473684210527,0.6906980263157896,0.9545243316624895,0.9967105263157895,36.375,0.564764843213119,-Inf,12,8.125
14,2,1,9.069140522875816,0.6143790849673203,0.5970405228758172,0.477124183006536,0.5908111111111108,0.9900923332295881,1,27.75,0.6022372877040205,0.3252959932288823,4.857142857142857,0.8571428571428571
14,2,2,8.739371710526315,0.5789473684210527,0.7393717105263159,0.5789473684210527,0.6194578947368422,0.9983552631578947,0.9983552631578947,45.6,0.5458077614067612,0.3789097313210594,8,4
15,2,1,8.99296017699115,0.672566371681416,0.5208601769911507,0.6017699115044248,0.36911592920353964,0.9807838179519596,0.9982300884955753,20.77777777777778,0.7634391204185255,0.4555282731277285,4.0227272727272725,0.022727272727272728
15,2,2,8.523908035714285,0.6964285714285714,0.5239080357142858,0.6964285714285714,0.4129482142857144,0.9617772108843538,1,26,0.47741896298788067,0.33269069503478826,4,0.043478260869565216
16,2,1,9.018726548672566,0.6283185840707964,0.5466265486725665,0.5132743362831859,0.5900345132743361,0.9611672987779183,1,24,0.556153982165317,-Inf,3.9130434782608696,0.021739130434782608
16,2,2,8.9468,0.42857142857142855,0.9468000000000002,0.42857142857142855,0.9024160714285716,0.9815051020408163,1,30,0.7165013090808874,-Inf,4.021739130434782,0.08695652173913043
17,2,1,8.050974509803922,0.934640522875817,0.050974509803921576,0.934640522875817,0.029315032679738565,0.9901960784313726,1,28.625,0.6589200785773367,0.3567578143588532,5,1
