"train_type","emmean","SE","df","lower.CL","upper.CL"
"stable",53.3529411764706,2.44545646037182,69,48.4743890230074,58.2314933299337
"variable",46.4054054054054,2.3442208881805,69,41.7288126925311,51.0819981182797
